date,symbol,token,tradingsymbol,n_ticks,n_trades,daily_pnl,status
2024-12-31,BANKNIFTY,8963074,BANKNIFTY25JANFUT,10547,5,56.6015625,ok
2025-01-01,BANKNIFTY,8963074,BANKNIFTY25JANFUT,10549,9,-123.75390625,ok
2025-01-02,BANKNIFTY,8963074,BANKNIFTY25JANFUT,8210,1,43.0,ok
2025-01-03,BANKNIFTY,8963074,BANKNIFTY25JANFUT,12160,1,-28.30078125,ok
2025-01-06,BANKNIFTY,8963074,BANKNIFTY25JANFUT,13749,2,-68.1015625,ok
2025-01-07,BANKNIFTY,8963074,BANKNIFTY25JANFUT,11182,5,-143.6953125,ok
2025-01-08,BANKNIFTY,8963074,BANKNIFTY25JANFUT,13958,2,75.19921875,ok
2025-01-09,BANKNIFTY,8963074,BANKNIFTY25JANFUT,12120,0,0.0,ok
2025-01-10,BANKNIFTY,8963074,BANKNIFTY25JANFUT,12595,4,34.30078125,ok
2025-01-13,BANKNIFTY,8963074,BANKNIFTY25JANFUT,13480,2,80.75,ok
2025-01-14,BANKNIFTY,8963074,BANKNIFTY25JANFUT,13083,8,29.69921875,ok
2025-01-15,BANKNIFTY,8963074,BANKNIFTY25JANFUT,11091,0,0.0,ok
2025-01-16,BANKNIFTY,8963074,BANKNIFTY25JANFUT,10705,4,-117.6015625,ok
2025-01-17,BANKNIFTY,8963074,BANKNIFTY25JANFUT,12546,1,10.953125,ok
2025-01-20,BANKNIFTY,8963074,BANKNIFTY25JANFUT,12063,13,-327.19140625,ok
2025-01-21,BANKNIFTY,8963074,BANKNIFTY25JANFUT,13573,5,-4.8515625,ok
2025-01-22,BANKNIFTY,8963074,BANKNIFTY25JANFUT,12701,7,-76.69921875,ok
2025-01-23,BANKNIFTY,8963074,BANKNIFTY25JANFUT,11128,0,0.0,ok
2025-01-24,BANKNIFTY,8963074,BANKNIFTY25JANFUT,14118,5,-107.44921875,ok
2025-01-27,BANKNIFTY,8963074,BANKNIFTY25JANFUT,12763,1,-25.69921875,ok
2025-01-28,BANKNIFTY,8963074,BANKNIFTY25JANFUT,15813,3,-87.6015625,ok
2025-01-29,BANKNIFTY,8963074,BANKNIFTY25JANFUT,11527,0,0.0,ok
2025-01-30,BANKNIFTY,8963074,BANKNIFTY25JANFUT,9510,1,-29.44921875,ok
2025-01-31,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,12099,7,-161.8515625,ok
2025-02-01,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,11813,9,-46.203125,ok
2025-02-03,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,8327,3,-15.3515625,ok
2025-02-04,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,9855,14,-134.80078125,ok
2025-02-05,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,8021,3,-75.80078125,ok
2025-02-06,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,8337,5,-11.69921875,ok
2025-02-07,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,10735,11,-17.40234375,ok
2025-02-10,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,7884,1,-28.19921875,ok
2025-02-11,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,10180,7,48.55078125,ok
2025-02-12,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,11370,7,92.39453125,ok
2025-02-13,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,8535,3,-21.90234375,ok
2025-02-14,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,9695,6,43.00390625,ok
2025-02-17,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,8967,9,-35.8515625,ok
2025-02-18,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,8047,0,0.0,ok
2025-02-19,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,9069,5,2.546875,ok
2025-02-20,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,6158,1,-26.69921875,ok
2025-02-21,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,8746,4,-0.5,ok
2025-02-24,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,8452,5,-11.3984375,ok
2025-02-25,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,7556,2,-55.30078125,ok
2025-02-26,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,0,0,0.0,insufficient_ticks
2025-02-27,BANKNIFTY,8989954,BANKNIFTY25FEBFUT,11566,1,-27.09765625,ok
2025-02-28,BANKNIFTY,15093250,BANKNIFTY25MARFUT,10389,6,-53.953125,ok
2025-03-03,BANKNIFTY,15093250,BANKNIFTY25MARFUT,9129,1,39.94921875,ok
2025-03-04,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8389,0,0.0,ok
2025-03-05,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8401,3,-82.5,ok
2025-03-06,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8993,2,-59.4453125,ok
2025-03-07,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8664,1,-25.203125,ok
2025-03-10,BANKNIFTY,15093250,BANKNIFTY25MARFUT,7234,1,-19.8515625,ok
2025-03-11,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8150,0,0.0,ok
2025-03-12,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8809,0,0.0,ok
2025-03-13,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8090,0,0.0,ok
2025-03-17,BANKNIFTY,15093250,BANKNIFTY25MARFUT,6444,3,-81.19921875,ok
2025-03-18,BANKNIFTY,15093250,BANKNIFTY25MARFUT,10493,1,-26.5,ok
2025-03-19,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8573,0,0.0,ok
2025-03-20,BANKNIFTY,15093250,BANKNIFTY25MARFUT,8392,0,0.0,ok
2025-03-21,BANKNIFTY,15093250,BANKNIFTY25MARFUT,9510,2,-65.55078125,ok
2025-03-24,BANKNIFTY,15093250,BANKNIFTY25MARFUT,10451,5,-70.00390625,ok
2025-03-25,BANKNIFTY,15093250,BANKNIFTY25MARFUT,10437,0,0.0,ok
2025-03-26,BANKNIFTY,15093250,BANKNIFTY25MARFUT,10676,5,-137.6015625,ok
2025-03-27,BANKNIFTY,15093250,BANKNIFTY25MARFUT,7218,1,-25.8984375,ok
2025-03-28,BANKNIFTY,13937922,BANKNIFTY25APRFUT,10691,4,-50.55078125,ok
2025-04-01,BANKNIFTY,13937922,BANKNIFTY25APRFUT,8776,1,36.1015625,ok
2025-04-02,BANKNIFTY,13937922,BANKNIFTY25APRFUT,7904,5,-90.40234375,ok
2025-04-03,BANKNIFTY,13937922,BANKNIFTY25APRFUT,9059,4,108.8984375,ok
2025-04-04,BANKNIFTY,13937922,BANKNIFTY25APRFUT,9376,1,43.75,ok
2025-04-07,BANKNIFTY,13937922,BANKNIFTY25APRFUT,16233,4,-50.1484375,ok
2025-04-08,BANKNIFTY,13937922,BANKNIFTY25APRFUT,12657,0,0.0,ok
2025-04-09,BANKNIFTY,13937922,BANKNIFTY25APRFUT,13970,3,-17.3984375,ok
2025-04-11,BANKNIFTY,13937922,BANKNIFTY25APRFUT,10987,2,-55.69921875,ok
2025-04-15,BANKNIFTY,13937922,BANKNIFTY25APRFUT,11309,0,0.0,ok
2025-04-16,BANKNIFTY,13937922,BANKNIFTY25APRFUT,9799,2,15.3984375,ok
2025-04-17,BANKNIFTY,13937922,BANKNIFTY25APRFUT,11991,0,0.0,ok
2025-04-21,BANKNIFTY,13937922,BANKNIFTY25APRFUT,12461,1,-33.19921875,ok
2025-04-22,BANKNIFTY,13937922,BANKNIFTY25APRFUT,11054,0,0.0,ok
2025-04-23,BANKNIFTY,13937922,BANKNIFTY25APRFUT,10478,0,0.0,ok
2025-04-24,BANKNIFTY,13937922,BANKNIFTY25APRFUT,7457,0,0.0,ok
2025-04-25,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,15450,8,-86.60546875,ok
2025-04-28,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,10758,5,-68.99609375,ok
2025-04-29,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,10072,4,-54.203125,ok
2025-04-30,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,8512,2,26.19921875,ok
2025-05-02,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,11312,4,85.0,ok
2025-05-05,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,9399,0,0.0,ok
2025-05-06,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,10297,2,-65.59765625,ok
2025-05-07,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,11403,1,-31.6015625,ok
2025-05-08,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,10564,0,0.0,ok
2025-05-09,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,10129,3,-89.6015625,ok
2025-05-12,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,11440,6,-32.0,ok
2025-05-13,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,11248,2,-57.203125,ok
2025-05-14,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,9381,0,0.0,ok
2025-05-15,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,11668,6,-188.00390625,ok
2025-05-16,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,7329,0,0.0,ok
2025-05-19,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,9125,3,-14.3984375,ok
2025-05-20,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,9626,0,0.0,ok
2025-05-21,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,10162,2,6.19921875,ok
2025-05-22,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,8292,0,0.0,ok
2025-05-23,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,9098,5,55.99609375,ok
2025-05-26,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,10838,0,0.0,ok
2025-05-27,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,13730,6,-165.79296875,ok
2025-05-28,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,9795,0,0.0,ok
2025-05-29,BANKNIFTY,14625282,BANKNIFTY25MAYFUT,8052,2,72.6015625,ok
2025-05-30,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,9865,5,-70.99609375,ok
2025-06-02,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,9590,2,9.80078125,ok
2025-06-03,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,10842,0,0.0,ok
2025-06-04,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,6971,0,0.0,ok
2025-06-05,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,7699,1,40.59765625,ok
2025-06-06,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,14717,10,-45.39453125,ok
2025-06-09,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,8064,0,0.0,ok
2025-06-10,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,7093,0,0.0,ok
2025-06-11,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,8310,1,-27.3984375,ok
2025-06-12,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,8582,2,-62.0,ok
2025-06-13,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,8923,0,0.0,ok
2025-06-16,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,9345,0,0.0,ok
2025-06-17,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,6848,0,0.0,ok
2025-06-18,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,8090,0,0.0,ok
2025-06-19,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,6713,0,0.0,ok
2025-06-20,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,8775,3,-23.3984375,ok
2025-06-23,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,9258,1,37.80078125,ok
2025-06-24,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,11680,1,-34.3984375,ok
2025-06-25,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,8257,0,0.0,ok
2025-06-26,BANKNIFTY,14536194,BANKNIFTY25JUNFUT,8807,4,103.20703125,ok
2025-06-27,BANKNIFTY,13622530,BANKNIFTY25JULFUT,8444,1,-25.0,ok
2025-06-30,BANKNIFTY,13622530,BANKNIFTY25JULFUT,7198,0,0.0,ok
2025-07-01,BANKNIFTY,13622530,BANKNIFTY25JULFUT,6542,2,12.0,ok
2025-07-02,BANKNIFTY,13622530,BANKNIFTY25JULFUT,9609,0,0.0,ok
2025-07-03,BANKNIFTY,13622530,BANKNIFTY25JULFUT,7452,0,0.0,ok
2025-07-04,BANKNIFTY,13622530,BANKNIFTY25JULFUT,6948,1,-35.80078125,ok
2025-07-07,BANKNIFTY,13622530,BANKNIFTY25JULFUT,5870,3,61.19921875,ok
2025-07-08,BANKNIFTY,13622530,BANKNIFTY25JULFUT,5900,4,-115.796875,ok
2025-07-09,BANKNIFTY,13622530,BANKNIFTY25JULFUT,5408,0,0.0,ok
2025-07-10,BANKNIFTY,13622530,BANKNIFTY25JULFUT,5804,0,0.0,ok
2025-07-11,BANKNIFTY,13622530,BANKNIFTY25JULFUT,6787,0,0.0,ok
2025-07-14,BANKNIFTY,13622530,BANKNIFTY25JULFUT,5742,0,0.0,ok
2025-07-15,BANKNIFTY,13622530,BANKNIFTY25JULFUT,6278,2,-51.0,ok
2025-07-16,BANKNIFTY,13622530,BANKNIFTY25JULFUT,6323,0,0.0,ok
2025-07-17,BANKNIFTY,13622530,BANKNIFTY25JULFUT,6992,0,0.0,ok
2025-07-18,BANKNIFTY,13622530,BANKNIFTY25JULFUT,10111,1,-25.0,ok
2025-07-21,BANKNIFTY,13622530,BANKNIFTY25JULFUT,9109,5,-134.3984375,ok
2025-07-22,BANKNIFTY,13622530,BANKNIFTY25JULFUT,7181,0,0.0,ok
2025-07-23,BANKNIFTY,13622530,BANKNIFTY25JULFUT,6145,5,-18.19921875,ok
2025-07-24,BANKNIFTY,13622530,BANKNIFTY25JULFUT,6247,2,-53.19921875,ok
2025-07-25,BANKNIFTY,13622530,BANKNIFTY25JULFUT,8598,0,0.0,ok
2025-07-28,BANKNIFTY,13622530,BANKNIFTY25JULFUT,7879,0,0.0,ok
2025-07-29,BANKNIFTY,13622530,BANKNIFTY25JULFUT,8790,0,0.0,ok
2025-07-30,BANKNIFTY,13622530,BANKNIFTY25JULFUT,8471,0,0.0,ok
2025-07-31,BANKNIFTY,13622530,BANKNIFTY25JULFUT,8286,9,-53.0,ok
2025-08-01,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,8940,2,-50.203125,ok
2025-08-04,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,6674,0,0.0,ok
2025-08-05,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,8032,1,-25.203125,ok
2025-08-06,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,7474,3,-15.6015625,ok
2025-08-07,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,8626,1,-33.3984375,ok
2025-08-08,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,7534,0,0.0,ok
2025-08-11,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,7315,3,-82.99609375,ok
2025-08-12,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,6778,2,34.3984375,ok
2025-08-13,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,6272,0,0.0,ok
2025-08-14,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,5131,2,-61.6015625,ok
2025-08-18,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,7958,2,-51.3984375,ok
2025-08-19,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,5546,1,40.0,ok
2025-08-20,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,4628,0,0.0,ok
2025-08-21,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,4956,2,70.6015625,ok
2025-08-22,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,6833,0,0.0,ok
2025-08-25,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,7242,0,0.0,ok
2025-08-26,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,11374,1,-36.19921875,ok
2025-08-28,BANKNIFTY,16409602,BANKNIFTY25AUGFUT,11989,2,-62.40234375,ok
2025-08-29,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,7762,0,0.0,ok
2025-09-01,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,6650,2,9.0,ok
2025-09-02,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,7283,0,0.0,ok
2025-09-03,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,6935,2,5.6015625,ok
2025-09-04,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,6961,0,0.0,ok
2025-09-05,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,6997,6,-33.796875,ok
2025-09-08,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,6818,3,-24.6015625,ok
2025-09-09,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,4833,0,0.0,ok
2025-09-10,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,6971,4,-108.59765625,ok
2025-09-11,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,5898,0,0.0,ok
2025-09-12,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,5989,0,0.0,ok
2025-09-15,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,4451,0,0.0,ok
2025-09-16,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,6375,1,43.0,ok
2025-09-17,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,7990,0,0.0,ok
2025-09-18,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,7959,1,-1.6015625,ok
2025-09-19,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,5665,1,-32.0,ok
2025-09-22,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,4337,0,0.0,ok
2025-09-23,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,5556,2,83.0,ok
2025-09-24,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,7842,2,12.0,ok
2025-09-25,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,7136,0,0.0,ok
2025-09-26,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,7489,0,0.0,ok
2025-09-29,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,10429,0,0.0,ok
2025-09-30,BANKNIFTY,13566722,BANKNIFTY25SEPFUT,6291,0,0.0,ok
2025-10-01,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,10683,5,-4.80078125,ok
2025-10-03,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,5642,0,0.0,ok
2025-10-06,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,6555,0,0.0,ok
2025-10-07,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,7068,2,6.19921875,ok
2025-10-08,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,7027,0,0.0,ok
2025-10-09,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,5868,0,0.0,ok
2025-10-10,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,6263,4,-48.80078125,ok
2025-10-13,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,5791,0,0.0,ok
2025-10-14,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,6864,1,-26.80078125,ok
2025-10-15,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,5555,2,8.796875,ok
2025-10-16,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,6316,3,-80.0,ok
2025-10-17,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,9100,3,44.6015625,ok
2025-10-20,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,6548,2,8.40234375,ok
2025-10-23,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,8559,2,-56.80078125,ok
2025-10-24,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,9042,3,-22.59375,ok
2025-10-27,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,8571,2,9.80078125,ok
2025-10-28,BANKNIFTY,13349122,BANKNIFTY25OCTFUT,7746,5,-3.0078125,ok
2025-10-29,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,8021,1,17.0,ok
2025-10-30,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,6487,0,0.0,ok
2025-10-31,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,6899,1,-28.3984375,ok
2025-11-03,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,5922,4,-123.3984375,ok
2025-11-04,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,5422,0,0.0,ok
2025-11-06,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,6129,0,0.0,ok
2025-11-07,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,7997,4,103.203125,ok
2025-11-10,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,4930,0,0.0,ok
2025-11-11,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,7331,0,0.0,ok
2025-11-12,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,5179,6,-17.6015625,ok
2025-11-13,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,7016,1,-26.6015625,ok
2025-11-14,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,6262,1,12.0,ok
2025-11-17,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,6064,2,-58.0,ok
2025-11-18,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,4904,0,0.0,ok
2025-11-19,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,6236,4,-49.0,ok
2025-11-20,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,5677,0,0.0,ok
2025-11-21,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,10581,2,-23.203125,ok
2025-11-25,BANKNIFTY,9485058,BANKNIFTY25NOVFUT,6514,1,-33.6015625,ok
2025-11-26,BANKNIFTY,12674050,BANKNIFTY25DECFUT,7502,5,0.80078125,ok
2025-11-27,BANKNIFTY,12674050,BANKNIFTY25DECFUT,7118,1,-36.59765625,ok
2025-11-28,BANKNIFTY,12674050,BANKNIFTY25DECFUT,4847,0,0.0,ok
2025-12-01,BANKNIFTY,12674050,BANKNIFTY25DECFUT,5912,1,-34.80078125,ok
2025-12-02,BANKNIFTY,12674050,BANKNIFTY25DECFUT,6021,1,0.6015625,ok
2025-12-03,BANKNIFTY,12674050,BANKNIFTY25DECFUT,7341,5,-10.0,ok
2025-12-04,BANKNIFTY,12674050,BANKNIFTY25DECFUT,6267,0,0.0,ok
2025-12-05,BANKNIFTY,12674050,BANKNIFTY25DECFUT,7455,10,-59.80078125,ok
2025-12-09,BANKNIFTY,12674050,BANKNIFTY25DECFUT,6626,0,0.0,ok
2025-12-11,BANKNIFTY,12674050,BANKNIFTY25DECFUT,6511,12,-151.1953125,ok
2025-12-12,BANKNIFTY,12674050,BANKNIFTY25DECFUT,5212,4,-38.3984375,ok
2025-12-15,BANKNIFTY,12674050,BANKNIFTY25DECFUT,5077,2,9.0,ok
2025-12-16,BANKNIFTY,12674050,BANKNIFTY25DECFUT,5306,1,7.80078125,ok
2025-12-17,BANKNIFTY,12674050,BANKNIFTY25DECFUT,4875,0,0.0,ok
2025-12-18,BANKNIFTY,12674050,BANKNIFTY25DECFUT,6166,0,0.0,ok
2025-12-19,BANKNIFTY,12674050,BANKNIFTY25DECFUT,4398,0,0.0,ok
2025-12-22,BANKNIFTY,12674050,BANKNIFTY25DECFUT,3309,0,0.0,ok
